,usuario,texto;;
2270,@felipeneto,@felipeneto Boa Tarde  O Nome da pseudo artista    é  Sarah Suzie Glock do meme Corona vírus!;;
2284,@felipeneto,@danielPMERJ @felipeneto @MICHAJR2012 Com a merda do presidente o Brasil ta mais perdido do que o mundo com o corona https://t.co/FrP3C8pTlp;;
2302,@felipeneto,@felipeneto Felipe eu entendo seus motivos pra odiar o Bolsonaro mais alguns agradecem ele pq sem esse horario de verao e essas 3 parcelas de 600 reias no bolso da populaçao brasileira o brasil ia morrer mais ainda mais q o corona junto agente ia morrer de fome e cede.;;
2305,@felipeneto,@felipeneto Bah e o pior a GLOBO so ta jantando o Bolsonaro so fala dele e corona e fala monte de mimi so pra render os bolsos so mentindo e dando medo ao Povo brasileiro por isso q o Ator q suicÃ­diou e falando q 75 anos de carreira ele so desepcionando e sendo ignarado por tds;;
"2318,@felipeneto,""@felipeneto Concordo que esse cara é um lixo de presidente, mas ainda quero ver o teu posicionamento a respeito do Lula ter dito que foi bom a nateureza ter criado o CORONA...""";;
"2327,@felipeneto,""@luciano_hang @felipeneto Aproveita que você vai descontar do imposto de renda e faça alguma doação gorda contra o Corona. Assim, quem sabe, mostre mais respeito aos mortos e suas famílias.""";;
2338,@felipeneto,@felipeneto Que cara idiota nessa hora o Corona devia atuar nele com força AÍ­ ele tomava vergonha na cara.;;
"2348,@felipeneto,""@felipeneto """"AINDA BEM QUE A NATUREZA CRIOU ESSE MONSTRO CHAMADO CORONA VIRUS"""" só assim podemos perceber que os influenciadores que falam palavroes em videos pra crianças sao hipocritas e criticam os palavroes do presidente da republica. """"AINDA BEM"""".""";;
2351,@felipeneto,@felipeneto O Pior de ser humano é que ele não pega a porra do corona;;
"2359,@felipeneto,""@liberato410 @hey_gl @JosuePatriota @felipeneto O que acho do corona ? Que pergunta idiota, mesma coisa de pergunta o que acha da dengue, retardo esquerdopata é grande.""";;
2362,@felipeneto,@felipeneto Os Esquerdistas sAÍ­ram de casa?? Perderam o medo do corona?;;
"2413,@felipeneto,""@felipeneto Tudo política, fala sobre a pesquisa do corona, puta merda. Briguinha besta com partidário político""";;
"2430,@felipeneto,""@lucasmontalves @guterodrigues @felipeneto merda demais?? Você n acompanha o Lula... eu mando DIRETO ele debatendo com 6 médicos sobre corona, mando ele debatendo economia sob as perspectivas dele... n vê. AÍ­ ele fala uma besteira, vc fala q ele tá â€œfalando merda demaisâ€ .";;
;;
"Faça um mea culpa abaixo por gentileza.""";;
2441,@felipeneto,@Zautatasanttosr @JosuePatriota @felipeneto O dólar já tava a 5 antes do corona;;
2472,@felipeneto,@VlogdoLisboa @felipeneto VAMO DÃ TIRO NO CORONA TAOKEY;;
2495,@felipeneto,@felipeneto O ciro viajou pra paris e isso causou um buraco negro na força magnética e bolsonaro foi eleito e o corona virus criado causando a devastacao da terra :);;
2501,@felipeneto,@DemetrioTube @walkmar_ @felipeneto E passar pano pra quem minimiza as vítimas do corona vírus e ditadura você passa também né? Venho aqui pedir desculpas a todo o pessoal do nordeste em seu nome. Lamentável é vergonhoso;;
