Source,Target,Type,Weight
1103,26603,Directed,1
1104,25649,Directed,1
1105,26604,Directed,1
1106,26605,Directed,1
1107,26606,Directed,1
1108,26607,Directed,1
1109,26608,Directed,1
1110,26609,Directed,1
1111,26610,Directed,1
1112,26611,Directed,1
1113,26086,Directed,1
1114,26612,Directed,1
1115,26613,Directed,1
1116,26438,Directed,1
1117,26614,Directed,1
1118,26615,Directed,1
1119,26616,Directed,1
1120,26617,Directed,1
1121,26618,Directed,1
1122,26619,Directed,1
1123,26620,Directed,1
1124,26621,Directed,1
1125,26622,Directed,1
1126,26623,Directed,1
1127,26624,Directed,1
1128,26625,Directed,1
1129,26626,Directed,1
1130,26627,Directed,1
1131,26628,Directed,1
1132,26629,Directed,1
1133,26630,Directed,1
1134,26631,Directed,1
1135,26105,Directed,1
1136,26632,Directed,1
1137,26633,Directed,1
1138,26634,Directed,1
1139,26635,Directed,1
1140,26636,Directed,1
1141,26637,Directed,1
1142,25649,Directed,1
1143,26638,Directed,1
1144,26639,Directed,1
1145,26640,Directed,1
1146,26641,Directed,1
1147,26642,Directed,1
1148,26416,Directed,1
1149,26643,Directed,1
1150,26644,Directed,1
1151,26105,Directed,1
1152,26645,Directed,1
1153,25649,Directed,1
1154,26079,Directed,1
1155,25752,Directed,1
1156,26646,Directed,1
1157,26647,Directed,1
1158,26648,Directed,1
1159,26649,Directed,1
1160,25705,Directed,1
1161,26650,Directed,1
1162,26269,Directed,1
1163,26651,Directed,1
1164,26652,Directed,1
1165,26653,Directed,1
1166,26654,Directed,1
1167,26655,Directed,1
1168,25649,Directed,1
1169,25868,Directed,1
1170,26656,Directed,1
1171,26657,Directed,1
1172,26658,Directed,1
1173,26659,Directed,1
1174,25962,Directed,1
1175,26660,Directed,1
1176,26661,Directed,1
1177,25649,Directed,1
1178,26662,Directed,1
1179,26663,Directed,1
1180,26664,Directed,1
1181,26665,Directed,1
1182,26666,Directed,1
1183,25870,Directed,1
1184,26120,Directed,1
1185,25698,Directed,1
1186,26667,Directed,1
1187,26668,Directed,1
1188,26669,Directed,1
1189,26670,Directed,1
1190,26671,Directed,1
1191,26672,Directed,1
1192,26673,Directed,1
1193,26674,Directed,1
1194,26675,Directed,1
1195,26676,Directed,1
1196,26677,Directed,1
1197,26678,Directed,1
1198,26679,Directed,1
1199,26680,Directed,1
1200,26681,Directed,1
1201,26682,Directed,1
1202,26683,Directed,1
1203,25868,Directed,1
1204,26684,Directed,1
1205,26685,Directed,1
1206,26686,Directed,1
1207,26687,Directed,1
1208,25963,Directed,1
1209,26688,Directed,1
1210,26079,Directed,1
1211,26689,Directed,1
1212,26690,Directed,1
1213,26691,Directed,1
1214,26692,Directed,1
1215,26550,Directed,1
1216,26693,Directed,1
1217,26694,Directed,1
1218,26695,Directed,1
1219,26696,Directed,1
1220,26550,Directed,1
1221,26697,Directed,1
1222,26698,Directed,1
1223,26699,Directed,1
1224,26700,Directed,1
1225,26701,Directed,1
1226,25853,Directed,1
1227,26702,Directed,1
1228,26703,Directed,1
1229,26697,Directed,1
1230,26704,Directed,1
1231,26705,Directed,1
1232,26706,Directed,1
